"season.1998.1999","season.1999.2000","season.2000.2001","season.2001.2002","season.2002.2003","season.2003.2004","season.2004.2005","season.2005.2006","season.2006.2007","season.2007.2008","season.2008.2009","season.2010.2011","season.2011.2012","season.2012.2013","season.2013.2014","season.2014.2015","season.2015.2016","season.2016.2017","season.2017.2018"
0.0157733,0.00831219,0.0104113,0.0141046,0.0122262,0.00884021,0.00982275,0.0117778,0.0115384,0.00995184,0.0106828,0.0110939,0.0116092,0.0123034,0.0115746,0.0116191,0.0122559,0.012019,0.0126589
0.013088,0.0140445,0.012871,0.0177019,0.0133344,0.0102773,0.0101821,0.0121947,0.0114819,0.0122003,0.0100756,0.0124341,0.0119785,0.013278,0.0127184,0.0130905,0.0131066,0.0123108,0.0130479
0.0141744,0.0131721,0.0128299,0.0161904,0.0131929,0.0128296,0.011768,0.013069,0.0122736,0.0128548,0.00979399,0.0125726,0.0127926,0.0133995,0.0131623,0.0137072,0.013711,0.0126796,0.0134075
0.0118272,0.0138161,0.0134081,0.0177065,0.0149484,0.0132661,0.0130121,0.0133931,0.0121744,0.013775,0.0104943,0.0125734,0.0129194,0.0137842,0.0137444,0.0143373,0.0139171,0.0136298,0.0151674
0.0233432,0.0141607,0.010555,0.0193891,0.0147195,0.0177304,0.0127746,0.0158374,0.0132813,0.0146725,0.0113218,0.0143414,0.0142824,0.0150085,0.0146781,0.0142791,0.0143712,0.0148535,0.0174583
0.0181577,0.0148438,0.0114136,0.0163439,0.0158094,0.0243814,0.0140387,0.0147072,0.0147754,0.0155841,0.0113156,0.0151838,0.0139803,0.0165163,0.015834,0.0161605,0.0150165,0.0155954,0.0188708
0.0217975,0.0152614,0.0144111,0.0190363,0.0149426,0.0272605,0.0140301,0.016112,0.015339,0.0161958,0.0115469,0.0161617,0.0145831,0.0176746,0.0160253,0.0165976,0.0159805,0.0164783,0.0205923
0.021124,0.0185336,0.0195735,0.0180556,0.0140569,0.0373192,0.0173975,0.0182699,0.0191269,0.018112,0.0120448,0.0184378,0.0156548,0.0230609,0.0172344,0.0205459,0.0189668,0.0191275,0.0227971
0.0204854,0.0232907,0.0161928,0.0175506,0.016141,0.0454894,0.0156894,0.0177482,0.01838,0.0161865,0.0136081,0.0172535,0.0134313,0.0216324,0.0211076,0.0253541,0.0167728,0.0181725,0.0228379
0.0193248,0.0270254,0.017844,0.0153023,0.0145967,0.0539906,0.0165927,0.0194451,0.0195376,0.0162124,0.0130322,0.0187923,0.0148139,0.0283038,0.021708,0.0254253,0.0178296,0.0191433,0.0258278
0.0190468,0.0350454,0.0234423,0.0146161,0.0159896,0.0738735,0.0181341,0.0235512,0.0240407,0.0167351,0.0130204,0.023371,0.0163398,0.0343761,0.0236971,0.0360563,0.0187336,0.0221003,0.0336558
0.0255983,0.0540799,0.0269528,0.0196048,0.0216697,0.0748097,0.0237626,0.0310878,0.0287453,0.0195096,0.0145109,0.0303533,0.0183126,0.0430554,0.0315997,0.0490976,0.0232148,0.0273568,0.0473117
0.0399108,0.0704228,0.038618,0.0220435,0.0257842,0.0762797,0.0277052,0.0328238,0.0302597,0.0250019,0.0179927,0.03136,0.0210451,0.0606082,0.0459053,0.0598221,0.0240991,0.0336832,0.0570943
0.0308581,0.0676846,0.03505,0.021348,0.0238636,0.0514051,0.0240064,0.0262914,0.0237817,0.0243939,0.0212134,0.0253336,0.0173625,0.0464931,0.0428195,0.0547421,0.0194328,0.0309689,0.0574658
0.0416383,0.0552808,0.0343804,0.0189441,0.0173621,0.0289129,0.0254155,0.022515,0.0209232,0.0229319,0.0147138,0.0291288,0.0155066,0.0432584,0.0356288,0.0421374,0.0199796,0.0307346,0.0589207
0.0558049,0.0380508,0.043928,0.0283109,0.0206296,0.0210429,0.0285871,0.0235858,0.0229396,0.0262907,0.0161555,0.0344497,0.0162891,0.0451113,0.0336378,0.0421022,0.0211829,0.0351643,0.0651759
0.0525328,0.0341177,0.0421339,0.0330481,0.0258113,0.0188696,0.0355011,0.0241881,0.0274501,0.0392966,0.0195333,0.0416185,0.0176038,0.042171,0.0339659,0.0425968,0.0225112,0.038027,0.0716338
0.0674667,0.024,0.0435364,0.0361063,0.0293909,0.017766,0.0458591,0.0252752,0.0304434,0.0499202,0.0242907,0.0455159,0.0192728,0.0378956,0.0311922,0.0397761,0.0237116,0.0450313,0.0752133
0.0757188,0.018912,0.0369969,0.0342799,0.0322539,0.0146001,0.0505809,0.0264954,0.0349999,0.057776,0.0296686,0.0446504,0.0191994,0.0329206,0.0283572,0.0363443,0.0280035,0.0506308,0.0738748
0.0687287,0.0135503,0.0281921,0.0376715,0.0306982,0.0137787,0.0544151,0.0312935,0.0357851,0.0598318,0.0357354,0.0455124,0.0209951,0.030197,0.0248484,0.0326527,0.0316475,0.0486009,0.0644688
0.0635098,0.0133212,0.0255294,0.0360018,0.0320044,0.0130532,0.044729,0.0312442,0.0328979,0.0561677,0.0336653,0.040822,0.0223973,0.0271499,0.022741,0.0293083,0.0315183,0.0457916,0.0495881
0.0541099,0.0149127,0.0190167,0.0320024,0.0244888,0.0108691,0.036752,0.0313099,0.0289149,0.0453234,0.032962,0.0338812,0.0221921,0.024845,0.0207244,0.0254474,0.033321,0.0355674,0.0368612
0.0455008,0.0126826,0.0168033,0.0292633,0.021344,0.00991888,0.033353,0.0308261,0.0262075,0.0383249,0.0317227,0.0299142,0.0216693,0.0257808,0.0198207,0.0247227,0.0356024,0.0350417,0.0318626
0.0385915,0.0105854,0.016254,0.0285857,0.0199866,0.0102765,0.0276224,0.0264431,0.0253387,0.0321522,0.025804,0.0261542,0.0238913,0.0239237,0.0182441,0.0235665,0.0305479,0.0321511,0.0276894
0.0299601,0.0092201,0.0145957,0.0234745,0.0193849,0.010579,0.0246844,0.0242295,0.0207251,0.0269245,0.0242922,0.0209065,0.0196466,0.0206778,0.0182036,0.0217008,0.0276732,0.0310088,0.0248706
0.0197814,0.00892334,0.0132376,0.0223498,0.0141293,0.00849361,0.0200081,0.0231141,0.0187084,0.0203366,0.0199028,0.0186146,0.0184229,0.0190281,0.0175391,0.0204297,0.0244161,0.0279056,0.0240802
0.0116887,0.00929201,0.00920073,0.0199355,0.0123472,0.00747127,0.0154319,0.0186383,0.0140042,0.0165275,0.0172423,0.0161377,0.0168674,0.0165902,0.0174542,0.01954,0.0203348,0.0238547,0.0207483
0.0109302,0.00655592,0.00779257,0.0137168,0.0120005,0.00661708,0.0150195,0.0144943,0.0146887,0.013113,0.0160355,0.0142199,0.0153136,0.0143006,0.0167236,0.0172287,0.0198593,0.019703,0.0177898
0.00633169,0.00607002,0.00991303,0.0127033,0.00910135,0.00679514,0.0122918,0.0130227,0.0115514,0.011652,0.0128418,0.013382,0.0137912,0.0127757,0.0151659,0.0153694,0.0191514,0.0173442,0.0161487
0.00639561,0.00600003,0.0082693,0.00999331,0.00932265,0.00633071,0.0121854,0.0113459,0.0107901,0.0102035,0.012932,0.0119995,0.0129515,0.0119009,0.0144778,0.0138283,0.0169968,0.0156303,0.015385
0.0155531,0.00547247,0.00588952,0.01172,0.00692175,0.00569894,0.0115832,0.0106255,0.0098492,0.00877607,0.0274012,0.0114889,0.0139521,0.0109556,0.0129028,0.0146265,0.0157635,0.014128,0.0152612
0.0080802,0.00476417,0.00605586,0.0103472,0.00669406,0.00591357,0.01249,0.0103428,0.0103325,0.00825107,0.0222391,0.0112194,0.0132522,0.0108589,0.0137388,0.0138934,0.013935,0.0127492,0.0128847
0.0133997,0.00445917,0.0049434,0.00703599,0.00727705,0.00589044,0.0116888,0.0101791,0.00926649,0.00787315,0.0176657,0.0106712,0.0123059,0.0107343,0.0134208,0.013468,0.0129941,0.012834,0.0118344
0,0,0,0,0.00717701,0.0067864,0.0107888,0.00918151,0.009201,0.00805439,0.0192171,0.0105058,0.0123028,0.0101677,0.0134563,0.0125452,0.0118379,0.0116663,0.0124919
0,0,0,0,0.00789394,0.00637558,0.0123059,0.0093099,0.00954094,0.00886061,0.018611,0.0115203,0.0126877,0.0104847,0.0121291,0.0121636,0.0113723,0.0110977,0.0114131
